Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0046258	4	3	6	44	12	15	2	5	9	22	17	18	12.14	5	19	4.41	2.141	3.118	0.00182098069401166	0.0140547602398653	0.1149	0.2195	0.1985	0.1985	TRUE	NA
FBgn0014127	1794	605	645	2334	808	863	904	946	919	1190	1130	1058	1024.37	923	1126	1.224	0.292	3.116	0.0018339185813998	0.0141423945871331	0.0016	0.0071	0.0052	0.0052	TRUE	NA
FBgn0024992	2985	1180	1298	3358	1558	1864	1503	1844	1850	1712	2179	2285	1895.53	1732	2059	1.184	0.243	3.115	0.0018408104138664	0.0141710663757129	4e-04	0.0059	0.0038	0.0038	TRUE	NA
FBgn0026415	69	19	32	129	57	53	35	30	46	66	80	65	53.42	37	70	1.902	0.928	3.114	0.00184361073182254	0.0141803995135015	0	0.0534	0.0422	0.0422	TRUE	NA
FBgn0016672	536	231	296	758	336	417	270	361	422	387	470	511	403.39	351	456	1.316	0.396	3.106	0.00189848797843567	0.0145398779137483	0.0039	0.011	0.0091	0.0091	TRUE	NA
FBgn0045866	2583	829	1158	3267	1291	1481	1301	1296	1650	1666	1806	1815	1588.9	1416	1762	1.246	0.318	3.092	0.00199033269582438	0.0151911717724032	0.0085	0.0062	0.0069	0.0069	TRUE	NA
FBgn0262598	180	40	51	282	84	82	91	63	73	144	117	101	97.94	76	121	1.598	0.676	3.091	0.00199355187918337	0.015202748318623	0	0.0312	0.0227	0.0227	TRUE	NA
FBgn0267828	1924	782	869	2236	1032	1251	969	1222	1238	1140	1443	1533	1257.72	1143	1372	1.198	0.261	3.09	0.00199889256060663	0.0152304697663969	0	0.0066	0.0043	0.0043	TRUE	NA
FBgn0051453	1401	499	563	1690	662	829	706	780	802	862	926	1016	848.58	763	935	1.226	0.293	3.087	0.00202516668927743	0.0154043769465481	0	0.0076	0.0053	0.0053	TRUE	NA
FBgn0051549	801	311	378	923	479	571	403	486	539	471	670	700	544.76	476	614	1.272	0.347	3.086	0.00203033776453867	0.015429095591278	0.0021	0.0093	0.0072	0.0072	TRUE	NA
FBgn0265174	1052	307	353	1198	450	573	530	480	503	611	629	702	575.87	504	647	1.276	0.352	3.086	0.00203187193900817	0.015429095591278	0.0039	0.0091	0.0075	0.0075	TRUE	NA
FBgn0032040	1645	654	741	2106	837	1041	829	1022	1056	1074	1171	1276	1071.16	969	1174	1.219	0.286	3.084	0.00203919271568767	0.0154715301198734	0	0.007	0.0052	0.0052	TRUE	NA
FBgn0011817	1360	334	314	1687	414	544	685	522	447	860	579	667	626.74	551	702	1.276	0.351	3.08	0.0020690857395745	0.0156717011487704	0.0043	0.0087	0.0075	0.0075	TRUE	NA
FBgn0052185	34	9	7	71	24	29	17	14	10	36	34	36	24.41	14	35	2.52	1.334	3.076	0.00209880929745287	0.0158833618866561	0	0.1114	0.0819	0.0819	TRUE	NA
FBgn0031490	1448	584	700	1691	832	974	729	913	997	862	1164	1194	976.53	880	1073	1.215	0.281	3.071	0.00213628093148287	0.0161123215524848	0	0.0072	0.0049	0.0049	TRUE	NA
FBgn0035073	858	297	296	1087	418	437	432	464	422	554	585	536	498.77	439	558	1.271	0.346	3.071	0.00213527519812007	0.0161123215524848	0	0.0098	0.007	0.007	TRUE	NA
FBgn0027529	2041	744	823	2390	966	1209	1028	1163	1173	1219	1351	1482	1235.85	1121	1351	1.203	0.267	3.069	0.00214696493216343	0.0161792378432231	6e-04	0.0066	0.0046	0.0046	TRUE	NA
