Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052813	386	129	144	215	102	106	194	202	205	110	143	130	163.9	200	128	0.63	-0.667	-3.396	0.000683664218164618	0.0108363993853888	0	0.0321	0.0211	0.0211	TRUE	0.1938
FBgn0003557	5747	2062	2004	4489	1706	1861	2895	3223	2855	2289	2386	2281	2654.79	2991	2319	0.776	-0.367	-3.394	0.000689614709673838	0.0108483904940184	0.0019	0.014	0.008	0.008	TRUE	0.0546
FBgn0267912	5480	1838	1720	4014	1474	1715	2760	2872	2451	2047	2062	2102	2382.31	2694	2070	0.768	-0.381	-3.393	0.000691802604760573	0.0108483904940184	0.0027	0.0142	0.0086	0.0086	TRUE	0.0743
FBgn0000078	161	32	78	58	33	24	81	50	111	30	46	29	57.9	81	35	0.426	-1.231	-3.392	0.000693093386098513	0.0108495303866071	0.0859	0.0672	0.0734	0.0734	TRUE	0.0884
FBgn0052251	2950	942	817	2172	608	723	1486	1472	1164	1108	850	886	1161.04	1374	948	0.691	-0.533	-3.383	0.000715750786399878	0.0111649601654356	0.0182	0.0156	0.0169	0.0169	TRUE	0.2686
FBgn0086450	10864	4894	4950	7224	3617	3997	5472	7648	7053	3684	5059	4899	5635.86	6724	4547	0.676	-0.565	-3.383	0.000717188678379877	0.0111678313956811	0.0274	0.0134	0.0199	0.0199	TRUE	0.3394
FBgn0033362	235	118	123	146	75	67	118	184	175	74	105	82	123.25	159	87	0.548	-0.868	-3.367	0.000760037872505043	0.011712209914191	0.0386	0.0384	0.0385	0.0385	TRUE	0.6443
FBgn0034804	82	30	40	38	14	17	41	47	57	19	20	21	34.16	48	20	0.415	-1.268	-3.36	0.000780348120733032	0.0119837253644295	0	0.105	0.0665	0.0665	TRUE	0.1925
FBgn0035132	3318	1014	1093	2586	854	947	1671	1585	1557	1319	1194	1161	1414.52	1604	1225	0.764	-0.389	-3.354	0.00079565249178446	0.0121767641655055	0.0026	0.0151	0.0089	0.0089	TRUE	0.0572
FBgn0038256	2247	773	951	1423	684	756	1132	1208	1355	726	957	927	1050.63	1232	870	0.705	-0.505	-3.354	0.000797089193536132	0.0121778275245735	0.0145	0.0158	0.0153	0.0153	TRUE	0.2645
FBgn0033128	1069	301	392	809	235	275	538	470	559	413	329	337	440.94	522	360	0.691	-0.533	-3.351	0.000804834688985133	0.0122541240594711	0.0098	0.02	0.0157	0.0157	TRUE	0.2112
FBgn0039467	11112	3533	4092	9249	3048	3591	5597	5521	5831	4716	4263	4401	5054.95	5650	4460	0.79	-0.34	-3.348	0.000813610127706319	0.0123665962584986	0.0015	0.0135	0.0072	0.0072	TRUE	0.0313
FBgn0034219	2172	795	1002	1863	633	724	1094	1242	1428	950	885	887	1081.15	1255	907	0.726	-0.462	-3.343	0.000828390181542219	0.0125697978654115	0.0092	0.0158	0.0128	0.0128	TRUE	0.1745
FBgn0041188	12662	4085	3658	8493	3327	3746	6377	6384	5212	4331	4653	4591	5258.22	5991	4525	0.755	-0.406	-3.339	0.000841901822817328	0.0127530944486972	0.0068	0.0134	0.0104	0.0104	TRUE	0.1568
FBgn0029114	3069	1027	945	2360	777	860	1546	1605	1347	1203	1087	1054	1306.93	1499	1115	0.745	-0.426	-3.337	0.00084574427626248	0.0127678716418134	0.0054	0.0153	0.0109	0.0109	TRUE	0.0926
FBgn0263106	4574	1579	1650	3776	1296	1510	2304	2468	2351	1926	1813	1851	2118.58	2374	1863	0.786	-0.348	-3.338	0.000844435925736997	0.0127678716418134	8e-04	0.0143	0.0073	0.0073	TRUE	0.0141
FBgn0265523	55650	19418	16107	37105	15053	16437	28029	30347	22951	18921	21054	20147	23574.65	27109	20041	0.739	-0.436	-3.332	0.000861818682517104	0.0129885262354989	0.0111	0.013	0.0123	0.0123	TRUE	0.22
FBgn0004865	169	56	54	95	29	33	85	88	77	48	41	40	63.17	83	43	0.525	-0.93	-3.327	0.000878736385844476	0.0132211232917513	0	0.0627	0.0384	0.0384	TRUE	0.1295
FBgn0052529	22950	8088	7407	15820	6636	7421	11559	12640	10554	8067	9281	9096	10199.62	11584	8815	0.761	-0.395	-3.323	0.000891590352560219	0.013391897588961	0.0067	0.0132	0.0101	0.0101	TRUE	0.0771
FBgn0037917	1613	447	567	1149	373	482	812	699	808	586	522	591	669.55	773	566	0.732	-0.45	-3.32	0.000899571392331606	0.0134663569605002	0.0039	0.0175	0.0116	0.0116	TRUE	0.0792
FBgn0264090	80	26	24	28	13	9	40	41	34	14	18	11	26.44	38	14	0.374	-1.419	-3.317	0.000910061563239136	0.0136005341338439	0	0.132	0.0838	0.0838	TRUE	0.1349
FBgn0027552	2692	646	846	1445	604	758	1356	1010	1205	737	845	929	1013.6	1190	837	0.7	-0.515	-3.312	0.000924800422084542	0.0137745775242592	0.0157	0.016	0.0163	0.0163	TRUE	0.1888
FBgn0031126	925	296	283	656	212	255	466	463	403	335	297	313	379.22	444	315	0.71	-0.495	-3.307	0.000941691117704726	0.0139794046423267	0.0028	0.0211	0.0132	0.0132	TRUE	0.0699
FBgn0002773	100	31	56	48	13	26	50	48	80	24	18	32	42.19	59	25	0.422	-1.245	-3.303	0.000957162273096086	0.0141383820339417	0.0435	0.0875	0.0731	0.0731	TRUE	0.6475
FBgn0036059	2085	561	628	1521	395	497	1050	877	895	776	552	609	793.16	941	646	0.688	-0.539	-3.292	0.000993808098830192	0.0145623257618192	0.0193	0.0168	0.0179	0.0179	TRUE	0.3837
FBgn0086687	17914	6045	6792	13906	5402	6335	9023	9447	9678	7091	7555	7765	8426.51	9383	7470	0.796	-0.329	-3.292	0.000994037730233083	0.0145623257618192	0.0015	0.0132	0.0071	0.0071	TRUE	0.0244
FBgn0031261	5269	2216	2646	2846	1663	2008	2654	3463	3770	1451	2326	2461	2687.61	3296	2079	0.631	-0.665	-3.281	0.00103323803614948	0.0150869691606286	0.0495	0.014	0.0292	0.0292	TRUE	0.8601
FBgn0010768	770	244	246	462	184	237	388	381	351	236	257	290	317.18	373	261	0.695	-0.525	-3.279	0.00104116481783477	0.015177831477012	0.0043	0.0228	0.015	0.015	TRUE	0.1072
FBgn0032698	1023	291	293	615	226	288	515	455	417	314	316	353	395.04	462	328	0.704	-0.507	-3.276	0.0010540529008316	0.0153406032478874	0.0063	0.0208	0.0145	0.0145	TRUE	0.1283
FBgn0266450	3096	1229	1049	2247	913	1000	1559	1921	1495	1146	1277	1226	1437.2	1658	1216	0.733	-0.447	-3.272	0.00106923941209073	0.0154945557808674	0.01	0.015	0.0127	0.0127	TRUE	0.225
FBgn0051005	764	218	234	501	178	197	385	341	333	255	249	241	300.8	353	248	0.702	-0.511	-3.271	0.00107322257856387	0.015518171278033	0	0.0233	0.014	0.014	TRUE	0.0813
FBgn0025681	7097	2842	2803	4718	2261	2503	3575	4442	3994	2406	3162	3068	3441.02	4004	2879	0.719	-0.476	-3.27	0.00107601639695286	0.0155333517790262	0.0157	0.0138	0.015	0.015	TRUE	0.2553
FBgn0035766	3550	1171	1255	2810	1051	1065	1788	1830	1788	1433	1470	1305	1602.43	1802	1403	0.779	-0.361	-3.268	0.00108332563893161	0.0156135622426599	0.001	0.0148	0.0081	0.0081	TRUE	0.0431
FBgn0034970	2876	919	979	2005	834	911	1449	1436	1395	1022	1166	1117	1264.2	1427	1102	0.771	-0.376	-3.261	0.00110934567109269	0.0159627494223305	0.0019	0.0153	0.0087	0.0087	TRUE	0.0506
FBgn0028490	18261	6555	6696	11267	5335	6443	9197	10244	9541	5745	7462	7897	8347.84	9661	7035	0.728	-0.458	-3.254	0.00113678018319401	0.0162786191185033	0.0144	0.0132	0.0142	0.0142	TRUE	0.3164
FBgn0000395	1233	441	352	872	298	331	621	689	502	445	417	406	513.16	604	423	0.7	-0.514	-3.25	0.00115295360697173	0.0164309724436756	0.0113	0.019	0.0158	0.0158	TRUE	0.2422
FBgn0028394	346	110	141	242	67	99	174	172	201	123	94	121	147.59	182	113	0.626	-0.677	-3.251	0.00115140756596171	0.0164309724436756	0.005	0.0342	0.0238	0.0238	TRUE	0.184
FBgn0015795	5715	1381	1634	3925	1144	1318	2878	2158	2328	2002	1600	1615	2096.99	2455	1739	0.708	-0.498	-3.243	0.00118302427999532	0.0168057372598379	0.0196	0.0143	0.0164	0.0164	TRUE	0.281
FBgn0033649	1762	506	416	1174	305	356	887	791	593	599	427	436	622.1	757	487	0.645	-0.633	-3.241	0.00119221431110821	0.0168824369937056	0.0368	0.0179	0.0257	0.0257	TRUE	0.4152
FBgn0036454	1772	691	615	1251	499	604	892	1080	876	638	698	740	820.81	949	692	0.729	-0.457	-3.238	0.00120189323197534	0.0169924809796894	0.008	0.0167	0.013	0.013	TRUE	0.1647
FBgn0053503	740	229	288	578	185	181	373	358	410	295	259	222	319.38	380	259	0.684	-0.547	-3.23	0.00123685163881114	0.0173769765949655	0.0093	0.0227	0.0172	0.0172	TRUE	0.1936
FBgn0029608	1404	460	579	897	388	491	707	719	825	457	543	602	642.16	750	534	0.71	-0.495	-3.23	0.00123942896814893	0.0173851871170118	0.0118	0.0177	0.0152	0.0152	TRUE	0.2021
FBgn0031055	5855	2343	2791	3806	1807	2288	2949	3662	3977	1941	2527	2804	2976.67	3529	2424	0.687	-0.542	-3.227	0.0012523427641124	0.0175387059747628	0.0272	0.0139	0.02	0.02	TRUE	0.3758
FBgn0020416	19654	5516	7302	15767	4891	5768	9899	8620	10405	8040	6841	7070	8479.13	9641	7317	0.759	-0.398	-3.224	0.00126630873092384	0.0176787019848568	0.0082	0.0132	0.0108	0.0108	TRUE	0.1041
FBgn0033174	1132	351	395	791	295	359	570	549	563	403	413	440	489.58	561	419	0.745	-0.425	-3.217	0.00129512375046259	0.0179683290426329	0	0.0193	0.0103	0.0103	TRUE	0.0225
FBgn0032482	8311	2581	3098	6817	2296	2741	4186	4034	4414	3476	3211	3360	3780.17	4211	3349	0.796	-0.33	-3.198	0.00138324416424401	0.0190720677568442	0.0014	0.0137	0.0074	0.0074	TRUE	0.0213
FBgn0004606	41396	13057	10856	26495	10244	11498	20850	20406	15469	13511	14328	14093	16442.56	18908	13977	0.739	-0.436	-3.197	0.0013900003544983	0.0190883635280657	0.0128	0.013	0.0133	0.0133	TRUE	0.3093
FBgn0010222	1088	421	497	728	318	408	548	658	708	371	445	500	538.36	638	439	0.687	-0.541	-3.197	0.00139085527447116	0.0190883635280657	0.0185	0.0187	0.0186	0.0186	TRUE	0.2314
FBgn0037539	1347	425	443	889	350	432	678	664	631	453	490	529	574.37	658	491	0.743	-0.429	-3.197	0.00138835646612358	0.0190883635280657	0.0024	0.0183	0.0111	0.0111	TRUE	0.0587
FBgn0029095	8064	3396	3637	5670	2574	3145	4062	5307	5182	2891	3600	3855	4149.57	4850	3449	0.711	-0.492	-3.185	0.00144546114000021	0.0196861198378928	0.0201	0.0136	0.0169	0.0169	TRUE	0.2496
FBgn0034894	1204	466	400	886	315	393	606	728	570	452	441	482	546.45	635	458	0.723	-0.468	-3.178	0.00148052732943219	0.0201022209195922	0.0068	0.0186	0.0136	0.0136	TRUE	0.1816
FBgn0270927	2027	632	712	1615	539	612	1021	988	1015	824	754	750	891.78	1008	776	0.771	-0.375	-3.173	0.00150734148194707	0.0204351454789993	0	0.0164	0.0088	0.0088	TRUE	0.0372
FBgn0261553	3121	1099	1049	2305	909	1027	1572	1718	1495	1175	1271	1259	1414.95	1595	1235	0.774	-0.369	-3.164	0.00155401054678893	0.0210039027924871	0.0023	0.0151	0.009	0.009	TRUE	0.0522
FBgn0032785	577	156	169	384	103	134	291	244	241	196	144	164	213.22	259	168	0.653	-0.615	-3.155	0.00160505215607248	0.0215304210152675	0.0142	0.0276	0.0222	0.0222	TRUE	0.2587
FBgn0041183	364	115	127	244	82	97	183	180	181	124	115	119	150.34	181	119	0.66	-0.599	-3.15	0.00163059173929862	0.0218401212359891	0	0.0338	0.0188	0.0188	TRUE	0.0177
FBgn0266377	14201	5087	4679	9396	4227	4678	7153	7950	6667	4791	5912	5734	6367.8	7257	5479	0.755	-0.406	-3.148	0.0016464275421087	0.0220191142906339	0.0098	0.0133	0.0118	0.0118	TRUE	0.1487
FBgn0040505	108	42	39	63	20	17	54	66	56	32	28	21	42.76	59	27	0.473	-1.081	-3.138	0.00169940398276686	0.022499920592368	0	0.0865	0.0581	0.0581	TRUE	0.2826
FBgn0029870	5153	1788	1888	3872	1556	1812	2595	2794	2690	1974	2176	2221	2408.6	2693	2124	0.788	-0.343	-3.136	0.00171549843536584	0.0226561784119739	0.0024	0.0142	0.0082	0.0082	TRUE	0.0476
FBgn0037445	3542	1085	997	2612	854	856	1784	1696	1421	1332	1194	1049	1412.64	1634	1192	0.73	-0.454	-3.134	0.00172297292226493	0.0227019523943991	0.0127	0.0151	0.0143	0.0143	TRUE	0.1546
FBgn0283531	70	33	28	36	13	12	35	52	40	18	18	15	29.66	42	17	0.413	-1.274	-3.124	0.00178594172065703	0.0234968728299737	0	0.119	0.0782	0.0782	TRUE	0.2316
FBgn0036155	186	75	75	89	45	57	94	117	107	45	63	70	82.66	106	59	0.554	-0.851	-3.114	0.00184571283706785	0.0241858298101316	0.0219	0.0509	0.04	0.04	TRUE	0.5257
FBgn0250869	1067	338	365	808	289	296	537	528	520	412	404	363	460.79	528	393	0.744	-0.426	-3.112	0.00185933404386263	0.0242831207165461	0	0.0197	0.0111	0.0111	TRUE	0.05
FBgn0014033	14239	3851	4592	10290	3719	4183	7172	6018	6543	5247	5201	5127	5884.84	6578	5192	0.789	-0.342	-3.11	0.00187189350676406	0.0244113549996303	0.0037	0.0134	0.0085	0.0085	TRUE	0.077
FBgn0284226	2534	842	702	1937	537	643	1276	1316	1000	988	751	788	1019.9	1197	842	0.705	-0.504	-3.103	0.00191820865139746	0.0249423130773682	0.0202	0.0159	0.0179	0.0179	TRUE	0.2827
FBgn0035312	428	177	210	326	122	149	216	277	299	166	171	183	218.49	264	173	0.661	-0.597	-3.099	0.00194323981315092	0.0251942314639523	0.014	0.0273	0.0217	0.0217	TRUE	0.3364
FBgn0016754	2110	693	638	1450	570	641	1063	1083	909	739	797	786	896.19	1018	774	0.758	-0.399	-3.097	0.00195307742065189	0.0252849717816081	0.004	0.0164	0.0107	0.0107	TRUE	0.1011
FBgn0036257	2473	749	820	1779	648	806	1246	1171	1168	907	906	988	1064.32	1195	934	0.78	-0.358	-3.091	0.00199676317520854	0.0258130182896697	0.0011	0.0158	0.0087	0.0087	TRUE	0.0298
FBgn0036801	84	34	32	38	15	19	42	53	46	19	21	23	34.11	47	21	0.451	-1.149	-3.089	0.00201067736527121	0.025955222163001	0	0.1052	0.0646	0.0646	TRUE	0.0868
FBgn0000139	1526	416	554	1059	386	469	769	650	789	540	540	575	643.81	736	552	0.748	-0.42	-3.076	0.00210019447083508	0.0268770576892644	0.0039	0.0177	0.0117	0.0117	TRUE	0.1149
FBgn0031012	2099	721	811	1463	612	753	1057	1127	1156	746	856	923	977.42	1113	842	0.755	-0.406	-3.069	0.00214435784478037	0.0273097003499654	0.0061	0.0161	0.0115	0.0115	TRUE	0.1264
FBgn0032601	434	187	208	366	102	152	219	292	296	187	143	186	220.47	269	172	0.648	-0.627	-3.069	0.00214626588581742	0.0273097003499654	0.0216	0.0271	0.025	0.025	TRUE	0.3487
FBgn0003093	4825	1363	1409	3437	1153	1395	2430	2130	2008	1753	1613	1710	1940.51	2189	1692	0.772	-0.373	-3.065	0.00217612539547921	0.0276107534152896	0.005	0.0145	0.0101	0.0101	TRUE	0.1158
FBgn0025366	16734	4163	5752	12110	3689	4830	8428	6506	8196	6175	5160	5920	6730.88	7710	5752	0.746	-0.423	-3.061	0.00220611466281766	0.0279514413964679	0.0133	0.0133	0.0136	0.0136	TRUE	0.2266
FBgn0010053	443	114	176	301	82	119	223	178	251	153	115	146	177.68	217	138	0.639	-0.647	-3.06	0.00221660484930828	0.0280444593647568	0.0178	0.0306	0.026	0.026	TRUE	0.2166
FBgn0031170	2291	760	709	1741	627	643	1154	1188	1010	888	877	788	984.12	1117	851	0.762	-0.392	-3.056	0.00224123338769626	0.0282757305725363	0.0041	0.016	0.0108	0.0108	TRUE	0.0809
FBgn0003575	2070	711	717	1483	624	671	1043	1111	1022	756	873	822	937.8	1059	817	0.771	-0.376	-3.053	0.00226880282232913	0.0284222598290936	0.0025	0.0162	0.0098	0.0098	TRUE	0.0544
FBgn0027525	6497	2404	2869	4601	2019	2492	3272	3757	4088	2346	2824	3054	3223.64	3706	2741	0.74	-0.435	-3.047	0.00230878324645634	0.0288419808922673	0.0143	0.0138	0.0143	0.0143	TRUE	0.1971
FBgn0001967	27	17	17	7	3	7	14	27	24	4	4	9	13.46	22	6	0.249	-2.004	-3.038	0.00238339362051538	0.0296492834887298	0.0988	0.2469	0.1947	0.1947	TRUE	0.9355
FBgn0250911	4397	1283	1182	2686	1043	1295	2215	2005	1684	1370	1459	1587	1719.94	1968	1472	0.746	-0.422	-3.03	0.00244226860306149	0.0302970563335219	0.0111	0.0147	0.0133	0.0133	TRUE	0.1909
FBgn0015903	1421	436	416	1002	345	408	716	681	593	511	483	500	580.57	663	498	0.749	-0.416	-3.027	0.00246781844267061	0.0305289706512043	0.0037	0.0183	0.0117	0.0117	TRUE	0.0989
FBgn0259736	561	201	184	369	145	174	283	314	262	188	203	213	243.85	286	201	0.702	-0.511	-3.022	0.00250756588889481	0.0309347498232494	0	0.0258	0.0161	0.0161	TRUE	0.0697
FBgn0003997	402	109	95	242	50	79	202	170	135	123	70	97	133.06	169	97	0.576	-0.796	-3.021	0.00252241686963383	0.031074919858684	0.0506	0.0365	0.0415	0.0415	TRUE	0.2601
FBgn0260936	6211	2026	1993	4408	1801	2013	3128	3166	2840	2248	2519	2467	2728.06	3045	2411	0.791	-0.338	-3.02	0.00252903343781697	0.0311133989373422	0.0029	0.014	0.0086	0.0086	TRUE	0.044
FBgn0263995	1560	426	357	976	306	338	786	666	509	498	428	414	550.02	654	447	0.683	-0.551	-3.018	0.00254288673280084	0.0312406787986995	0.027	0.0186	0.022	0.022	TRUE	0.1876
FBgn0037718	5911	1694	2075	4269	1657	1906	2977	2647	2957	2177	2318	2336	2568.64	2860	2277	0.795	-0.331	-3.016	0.00256425201447672	0.0314164961388502	0.0022	0.0141	0.0083	0.0083	TRUE	0.0505
FBgn0086370	2769	904	969	2015	820	926	1395	1413	1381	1028	1147	1135	1249.59	1396	1103	0.789	-0.342	-3.014	0.00258024341070858	0.0315256900674641	0.0014	0.0154	0.0084	0.0084	TRUE	0.046
FBgn0033224	3209	1225	1177	2466	1004	1114	1616	1914	1677	1258	1404	1365	1539.16	1736	1342	0.773	-0.371	-3.01	0.00261467702146317	0.0318589989468843	0.0047	0.0149	0.0102	0.0102	TRUE	0.0957
FBgn0086757	1474	449	443	1082	344	427	742	702	631	552	481	523	605.26	692	519	0.75	-0.415	-3.008	0.00262779825478993	0.0319751353216037	0.0043	0.018	0.0119	0.0119	TRUE	0.0677
FBgn0027561	4349	1841	1793	2944	1410	1645	2190	2877	2555	1501	1972	2016	2185.33	2541	1830	0.72	-0.474	-2.998	0.00271413241249183	0.0329356640300609	0.0206	0.0143	0.0175	0.0175	TRUE	0.279
FBgn0004861	1925	603	522	1188	484	553	970	942	744	606	677	678	769.38	885	654	0.735	-0.443	-2.996	0.00273866078190728	0.0330997585080645	0.011	0.0169	0.0144	0.0144	TRUE	0.2258
FBgn0040391	54	19	22	16	8	11	27	30	31	8	11	13	20.18	29	11	0.362	-1.466	-2.996	0.00273880341534114	0.0330997585080645	0	0.1689	0.108	0.108	TRUE	0.3836
FBgn0029768	824	74	220	161	61	20	415	116	313	82	85	25	172.68	281	64	0.227	-2.136	-2.987	0.00281678130336816	0.0338127642440703	0.3585	0.0311	0.1258	0.3585	TRUE	0.196
FBgn0051637	4979	2053	2117	3963	1664	1850	2508	3208	3017	2021	2327	2268	2558.07	2911	2205	0.758	-0.4	-2.987	0.00281637494407538	0.0338127642440703	0.0099	0.0141	0.0125	0.0125	TRUE	0.1826
