Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0039876	396	130	133	639	207	262	199	203	190	326	290	321	254.77	197	312	1.585	0.664	4.098	4.17447982059508e-05	0.00102430004854106	0	0.0252	0.0145	0.0145	TRUE	0.0417
FBgn0085446	7165	2348	2212	8638	3696	4278	3609	3669	3152	4405	5169	5243	4207.96	3477	4939	1.42	0.505	4.073	4.63261411725317e-05	0.00113048476554449	0.0074	0.0136	0.0108	0.0108	TRUE	0.1107
FBgn0001091	5417	2371	2543	8312	4365	5149	2728	3705	3624	4239	6105	6311	4452	3352	5552	1.657	0.728	4.072	4.66045910489684e-05	0.00113417238380645	0.0339	0.0136	0.0228	0.0228	TRUE	0.5259
FBgn0000490	319	114	98	512	208	202	161	178	140	261	291	248	213.01	160	267	1.669	0.739	4.068	4.74992852741298e-05	0.00115279600527704	0.0015	0.0276	0.0184	0.0184	TRUE	0.1016
FBgn0000565	1010	306	397	1321	604	761	509	478	566	674	845	933	667.29	518	817	1.574	0.655	4.058	4.95368943607833e-05	0.00119875571135433	0.0163	0.0176	0.017	0.017	TRUE	0.2973
FBgn0063491	1686	543	646	2252	874	1128	849	849	920	1148	1222	1383	1061.94	873	1251	1.433	0.519	4.057	4.96621598169696e-05	0.00119875571135433	0.0049	0.0158	0.0107	0.0107	TRUE	0.1011
FBgn0031268	164	67	58	350	106	135	83	105	83	178	148	165	127.03	90	164	1.851	0.889	4.054	5.03278963932372e-05	0.00120876638985967	0.005	0.0376	0.0254	0.0254	TRUE	0.1562
FBgn0051361	2360	862	807	3234	1240	1421	1189	1347	1150	1649	1734	1742	1468.47	1229	1708	1.391	0.477	4.045	5.23232885220395e-05	0.00124278274897548	0.003	0.015	0.0092	0.0092	TRUE	0.0814
FBgn0033777	1657	533	555	2498	809	880	835	833	791	1274	1131	1079	990.38	820	1161	1.419	0.505	4.035	5.46788838693958e-05	0.00129527877293805	0.0038	0.016	0.0102	0.0102	TRUE	0.0906
FBgn0027836	4797	1846	2028	6619	3248	3771	2416	2885	2890	3375	4543	4622	3455.14	2730	4180	1.531	0.615	4.026	5.66563950941015e-05	0.00133502251614593	0.0185	0.0138	0.0165	0.0165	TRUE	0.3496
FBgn0011606	2872	1023	1014	3736	1588	1743	1447	1599	1445	1905	2221	2136	1792.11	1497	2087	1.394	0.48	4.012	6.01726886491737e-05	0.00141383567133201	0.004	0.0146	0.0097	0.0097	TRUE	0.073
FBgn0041604	539	161	171	819	282	299	271	252	244	418	394	366	324.21	256	393	1.534	0.617	4.012	6.03185758511468e-05	0.00141383567133201	0	0.0226	0.0136	0.0136	TRUE	0.0397
FBgn0032436	13	6	4	62	31	18	7	9	6	32	43	22	19.78	7	32	4.564	2.19	3.987	6.69996316391264e-05	0.00154203028167881	0	0.1721	0.1283	0.1283	TRUE	0.0835
FBgn0032820	532	176	202	775	297	354	268	275	288	395	415	434	345.89	277	415	1.498	0.583	3.979	6.91264678687423e-05	0.00158280064089174	0	0.0219	0.0123	0.0123	TRUE	0.0225
FBgn0261563	2758	1210	1067	4463	1837	1866	1389	1891	1520	2276	2569	2287	1988.79	1600	2377	1.488	0.574	3.978	6.94452537893989e-05	0.00158602275769789	0.0149	0.0144	0.0144	0.0144	TRUE	0.3002
FBgn0028434	125	25	50	237	83	104	63	39	71	121	116	127	89.61	58	121	2.077	1.054	3.962	7.43295357434508e-05	0.00168033800727644	0.0022	0.048	0.0375	0.0375	TRUE	0.4802
FBgn0259246	540	247	228	908	437	439	272	386	325	463	611	538	432.53	328	537	1.648	0.72	3.962	7.4207356746726e-05	0.00168033800727644	0.0226	0.0201	0.0211	0.0211	TRUE	0.2061
FBgn0250785	2061	778	843	2937	1194	1405	1038	1216	1201	1498	1670	1722	1390.81	1152	1630	1.417	0.503	3.957	7.57438198977154e-05	0.00170797519956696	0.0061	0.0151	0.0108	0.0108	TRUE	0.0952
FBgn0029506	19279	5861	7108	31350	9069	10292	9710	9160	10128	15987	12684	12615	11713.91	9666	13762	1.424	0.51	3.948	7.87401475271666e-05	0.0017710568030921	0.0109	0.0131	0.0119	0.0119	TRUE	0.2454
FBgn0035390	1960	604	694	2598	984	1036	987	944	989	1325	1376	1270	1148.48	973	1324	1.359	0.442	3.945	7.98163713902582e-05	0.00178647292541812	0	0.0156	0.0081	0.0081	TRUE	0.0145
FBgn0038815	262	90	91	469	157	167	132	141	130	239	220	205	177.62	134	221	1.659	0.731	3.943	8.03069175000301e-05	0.00179271607562097	0	0.0306	0.0184	0.0184	TRUE	0.0654
FBgn0011710	4464	1488	1588	5667	2212	2463	2248	2325	2263	2890	3094	3019	2639.84	2279	3001	1.317	0.397	3.931	8.46404367936304e-05	0.00188473092630216	6e-04	0.014	0.0069	0.0069	TRUE	0.0131
FBgn0033926	22982	6968	6579	27596	10743	11913	11575	10890	9374	14072	15025	14602	12589.77	10613	14566	1.372	0.456	3.91	9.23171387694002e-05	0.00202529250004692	0.006	0.0131	0.0097	0.0097	TRUE	0.1271
FBgn0050185	777	224	275	1045	401	451	391	350	392	533	561	553	463.3	378	549	1.447	0.533	3.906	9.37954750801035e-05	0.00204490159639543	0	0.0196	0.011	0.011	TRUE	0.0418
FBgn0259734	477	186	156	740	274	332	240	291	222	377	383	407	320.12	251	389	1.555	0.637	3.907	9.3584214135204e-05	0.00204490159639543	0.0033	0.0227	0.0156	0.0156	TRUE	0.1816
FBgn0024177	682	176	269	1095	387	386	344	275	383	558	541	473	429.1	334	524	1.568	0.649	3.9	9.63710559441014e-05	0.00208850850436523	0.0135	0.0202	0.0173	0.0173	TRUE	0.2371
FBgn0261258	4268	1254	1154	5814	1873	2205	2150	1960	1644	2965	2620	2703	2340.13	1918	2763	1.439	0.525	3.898	9.69936905815951e-05	0.00209690000487929	0.0103	0.0142	0.0126	0.0126	TRUE	0.1866
FBgn0032105	966	333	392	1377	561	612	487	520	559	702	785	750	633.74	522	746	1.431	0.517	3.895	9.80182447784504e-05	0.00211391890131152	0.0029	0.0178	0.0109	0.0109	TRUE	0.0467
FBgn0003886	465	212	238	775	414	551	234	331	339	395	579	675	425.71	301	550	1.829	0.871	3.879	0.000105032019168854	0.00224884662196391	0.0553	0.0202	0.0335	0.0335	TRUE	0.2988
FBgn0032078	7765	2693	2968	9910	4069	4702	3911	4209	4229	5053	5691	5763	4809.4	4116	5502	1.337	0.419	3.828	0.000128970037449874	0.00267770658173898	0.0031	0.0135	0.0084	0.0084	TRUE	0.0631
FBgn0033438	2320	787	722	3120	1087	1308	1169	1230	1029	1591	1520	1603	1356.95	1143	1571	1.376	0.46	3.825	0.000130919824626379	0.00270557512284724	0.0033	0.0152	0.0096	0.0096	TRUE	0.0865
FBgn0011592	857	265	275	1274	430	446	432	414	392	650	601	547	505.89	413	599	1.453	0.539	3.811	0.000138621308246432	0.00285150113753111	0.0039	0.0191	0.0122	0.0122	TRUE	0.0694
FBgn0027843	1269	369	515	1809	652	772	639	577	734	922	912	946	788.38	650	927	1.426	0.512	3.801	0.00014423861807927	0.00295423536271969	0.0043	0.0168	0.0117	0.0117	TRUE	0.1392
FBgn0051460	377	99	150	674	203	233	190	155	214	344	284	286	245.26	186	305	1.639	0.713	3.8	0.000144434394879254	0.00295423536271969	0.0125	0.0257	0.0207	0.0207	TRUE	0.1917
FBgn0036560	18	4	5	74	14	32	9	6	7	38	20	39	19.83	7	32	4.193	2.068	3.784	0.000154635186611617	0.00313030819806745	0	0.1716	0.1323	0.1323	TRUE	0.6278
FBgn0261444	1212	457	372	1669	681	747	610	714	530	851	952	916	762.31	618	906	1.466	0.552	3.759	0.000170628102094173	0.00341524607944449	0.0098	0.017	0.014	0.014	TRUE	0.1987
FBgn0035173	792	312	266	1192	443	506	399	488	379	608	620	620	518.86	422	616	1.465	0.551	3.758	0.00017124723041853	0.00341995309717006	0.0047	0.0189	0.0133	0.0133	TRUE	0.1944
FBgn0051116	257	88	100	429	159	172	129	138	142	219	222	211	176.9	136	217	1.601	0.679	3.749	0.00017758910774406	0.00352290909282036	0	0.0306	0.0173	0.0173	TRUE	0.0281
FBgn0011674	180	47	59	312	99	119	91	73	84	159	138	146	115.27	83	148	1.775	0.828	3.746	0.000179954814875144	0.00354614499135599	0	0.0402	0.0253	0.0253	TRUE	0.0881
FBgn0029975	4498	1441	1888	6174	2418	2673	2265	2252	2690	3148	3382	3276	2835.7	2402	3269	1.361	0.445	3.74	0.00018387524343646	0.003599509435799	0.0055	0.014	0.0098	0.0098	TRUE	0.131
FBgn0035710	20	3	5	61	22	25	10	5	7	31	31	31	19.07	7	31	3.939	1.978	3.741	0.000183522205792673	0.003599509435799	0	0.178	0.1187	0.1187	TRUE	0.6109
FBgn0037213	848	324	285	1206	451	594	427	506	406	615	631	728	552.23	446	658	1.475	0.561	3.734	0.000188798881216631	0.00367971911377797	0.0085	0.0185	0.0142	0.0142	TRUE	0.1449
FBgn0031489	1616	614	707	2424	953	1079	814	960	1007	1236	1333	1323	1112.07	927	1297	1.403	0.489	3.732	0.000189810532109186	0.00369135897269983	0.0063	0.0157	0.0113	0.0113	TRUE	0.1468
FBgn0038545	127	26	41	278	70	85	64	41	58	142	98	104	84.48	54	115	2.092	1.065	3.727	0.000193471670957911	0.00375436203316364	0.0344	0.0501	0.0445	0.0445	TRUE	0.5043
FBgn0026179	799	274	243	1048	466	464	402	428	346	534	652	569	488.63	392	585	1.486	0.571	3.721	0.000198469940641961	0.00383464590303242	0.0078	0.0193	0.0147	0.0147	TRUE	0.1131
FBgn0031245	288	93	128	495	175	206	145	145	182	252	245	252	203.74	157	250	1.596	0.675	3.71	0.000207119316609918	0.00398447462860591	0.0013	0.0283	0.0183	0.0183	TRUE	0.1772
FBgn0031769	2288	765	827	2966	1143	1254	1152	1196	1178	1512	1599	1537	1362.41	1175	1549	1.318	0.399	3.71	0.000207574578568539	0.00398462666230599	0	0.0152	0.0075	0.0075	TRUE	0.0091
FBgn0029664	1026	331	384	1527	482	608	517	517	547	779	674	745	629.87	527	733	1.394	0.48	3.666	0.000246567571686727	0.00463644629614828	0.0021	0.0178	0.0106	0.0106	TRUE	0.0554
FBgn0085339	2334	702	745	2767	1157	1224	1176	1097	1062	1411	1618	1500	1310.61	1112	1510	1.355	0.438	3.666	0.000246735774601357	0.00463644629614828	0.0033	0.0152	0.0094	0.0094	TRUE	0.0469
FBgn0261989	11	6	3	74	17	17	6	9	4	38	24	21	16.92	6	28	4.513	2.174	3.659	0.000252724286001809	0.00472902356180277	0	0.1989	0.1523	0.1523	TRUE	0.9654
FBgn0085354	226	62	98	351	142	186	114	97	140	179	199	228	159.32	117	202	1.722	0.784	3.658	0.000254064388466712	0.00474413314061426	0.0134	0.0326	0.0258	0.0258	TRUE	0.2393
FBgn0016032	578	248	283	1029	416	437	291	388	403	525	582	536	454.02	361	548	1.529	0.613	3.655	0.000257404994169526	0.00479645665913801	0.0149	0.0198	0.0177	0.0177	TRUE	0.3745
FBgn0001206	1027	323	356	1306	522	583	517	505	507	666	730	715	606.66	510	704	1.376	0.461	3.644	0.000268621426679242	0.00498460634881668	0	0.018	0.0097	0.0097	TRUE	0.0281
FBgn0030305	816	259	329	1178	492	464	411	405	469	601	688	569	523.68	428	619	1.446	0.532	3.643	0.000269642252529854	0.00499314665963286	0.0054	0.0189	0.0132	0.0132	TRUE	0.1048
FBgn0033268	112	40	52	202	86	120	56	63	74	103	120	147	93.9	64	123	1.928	0.947	3.64	0.000272901599770268	0.00503257670632253	0.0197	0.0464	0.036	0.036	TRUE	0.2043
FBgn0038804	172	50	61	256	115	124	87	78	87	131	161	152	115.84	84	148	1.742	0.8	3.616	0.0002989111123911	0.00545574032390887	0	0.04	0.0254	0.0254	TRUE	0.1325
FBgn0035113	194	60	66	296	117	135	98	94	94	151	164	165	127.6	95	160	1.67	0.74	3.607	0.000309473673652039	0.00562547349228309	0	0.0375	0.0215	0.0215	TRUE	0.0318
FBgn0034029	855	256	322	1291	405	491	431	400	459	658	566	602	519.35	430	609	1.42	0.506	3.606	0.000311186882928549	0.00563362106960282	0.0033	0.0189	0.012	0.012	TRUE	0.0639
FBgn0051219	2643	990	1199	4958	1443	1677	1331	1547	1708	2528	2018	2055	1864.8	1529	2200	1.444	0.53	3.606	0.000311063562077556	0.00563362106960282	0.0152	0.0145	0.0149	0.0149	TRUE	0.2093
FBgn0263118	680	201	212	928	318	374	342	314	302	473	445	458	389.18	319	459	1.431	0.517	3.596	0.000323362425109335	0.00581856387969465	0	0.0209	0.012	0.012	TRUE	0.0527
FBgn0013997	3149	1141	1084	4567	1651	1646	1586	1783	1545	2329	2309	2017	1928.22	1638	2218	1.356	0.439	3.591	0.000328781908789	0.00590415415641859	0.0053	0.0145	0.0102	0.0102	TRUE	0.0754
FBgn0026150	1539	547	607	2124	811	919	775	855	865	1083	1134	1126	973.12	832	1114	1.343	0.425	3.59	0.000330332044196368	0.00591059752288435	0.0015	0.0161	0.009	0.009	TRUE	0.0463
