"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0077008",1644.44518817905,1829.91300912106,1644.00645282493,924.438600754439,768.631168148536,1001.08757325424,2.94222766250316e-08,-1.33617252146028,1.65368011606518e-12,0.396070039480493,7.53132372564537
"FBtr0070457",650.631051229083,604.14896592705,613.890907948087,1305.16225255204,1460.31373883328,1261.97045430674,5.57602265938832e-19,1.59942401276021,3.13400554147275e-23,3.03022309330587,18.2536754700558
"FBtr0306255",580.134619761169,506.530922343557,594.344988576161,1169.03393551704,1297.62911529478,1174.78425279497,7.70107564526576e-17,1.60865129464576,4.32839233659272e-21,3.0496661005221,16.1134486106486
"FBtr0306254",1208.14662077223,1341.50073431174,1367.80743846967,737.129716649118,524.883316498553,646.681230245389,1.21582018482158e-07,-1.49734793149249,6.83352172224357e-12,0.354203916270122,6.91513065081516
"FBtr0073839",245.992875606737,223.216518528787,233.239348264003,89.2966133188332,84.399447060306,125.403353520551,3.05784114262581e-05,-1.78091554685803,1.71866071415569e-09,0.290998667715023,4.51458508029488
"FBtr0075753",1012.21854430255,918.930442728996,897.368439967278,3388.36786552273,3944.36029803496,3315.55910304465,7.99861440559261e-56,2.7602753058969,4.49562410386275e-60,6.7752552806164,55.0969852390235
"FBtr0333020",691.711660302429,608.303670576611,501.291012411863,1528.36718338177,1596.78284382127,1916.06216744244,5.46102063150638e-16,2.14329927071952,3.06936861033407e-20,4.4177116977849,15.2627261827151
"FBtr0302291",8524.18067772356,10081.9038173481,8559.17669355985,4344.94107459761,3845.4151250648,3993.88653008092,1.22584001464454e-20,-1.66877571999873,6.88983821180608e-25,0.314520134160048,19.9115662062376
"FBtr0305917",1513.99365453507,1322.1762786141,1336.35997657931,736.472499167801,792.385436279063,931.172985342936,0.000105171389973536,-1.0998726135423,5.9111617566061e-09,0.466557689857186,3.97810238628962
"FBtr0087415",82.3560736253038,86.8406570872333,89.3860748129847,197.728196116233,172.957030662665,157.590022897691,0.000541562650457228,1.4900358930199,3.04385482496194e-08,2.80895963512225,3.26635129495004
"FBtr0100361",206.016038744976,225.080294123777,245.646720809504,432.870158812774,425.410991554618,373.529814812401,0.000172279151751718,1.24752102904605,9.68295592129713e-09,2.37433092966492,3.76376727523342
"FBtr0082208",492.843016927318,445.153022751637,416.541779444395,724.324885275688,892.462508908806,710.489708106559,0.00173598719900826,1.12890930098181,9.75712229658418e-08,2.18693342302273,2.76045348159073
"FBtr0089877",259.424175635906,265.510580605906,300.114601103503,600.673896241112,577.770232283224,570.54542589816,1.31473939494432e-12,1.56406312947835,7.38949749856296e-17,2.95685424580389,11.8811603236411
"FBtr0114506",158.526043866389,185.814115465375,199.40602076992,98.2333547635584,82.2943321419089,72.1803163660261,0.00149790482951622,-1.6001738783035,8.4189794824428e-08,0.329837222241625,2.82451577897897
"FBtr0075928",215.620566108888,202.245179141509,264.214159201931,77.6650354555156,75.0734353189979,68.2459623143948,4.676872668774e-12,-2.35978896290788,2.62863796581272e-16,0.194819641002255,11.3300444539105
"FBtr0075927",342.654183773881,407.614049298774,320.189146267548,652.556678123609,740.470590807641,620.035368428154,2.47970238315181e-05,1.31478609837751,1.39371761642975e-09,2.48765444640396,4.60560044058957
"FBtr0111027",43.6123337424302,76.9417991402931,67.8975315663746,204.898095878036,174.075883070173,177.876196027918,3.79232505203387e-06,2.25455648754656,2.13147765964134e-10,4.771875779396,5.42109444500104
"FBtr0111030",229.9194593594,480.180269056335,509.403565125027,2247.26456546801,2067.62367967249,1638.32131049538,2.77419938417833e-09,3.30080562247719,1.55923976179088e-13,9.85465675821774,8.55686232901016
"FBtr0302695",420.974959120657,376.792172478694,360.348353903842,954.656906026206,966.40115376644,935.008751971483,6.33398382295763e-25,1.8794334228525,3.56001788610478e-29,3.67930537694923,24.1983230501541
"FBtr0302692",230.595812474508,414.447893521643,434.947955426718,1246.48008267828,999.045645226755,956.52485004537,1.87550451199403e-05,2.26295954816982,1.05412798560815e-09,4.79975094704352,4.72688188670827
"FBtr0111032",480.54887819537,456.641461323232,414.394689464574,830.982131531795,722.423756567689,760.722122496418,1.21941792350855e-05,1.11901284166569,6.85374282547521e-10,2.17198304573664,4.91384742582742
"FBtr0111029",211.652883931692,232.713112729834,270.861937513906,592.928281809937,534.234569173038,441.82424093457,3.46798189671235e-06,1.63760534459075,1.94918047252268e-10,3.11148942852818,5.45992317825997
"FBtr0302694",495.874352292726,399.883728597262,437.882625245483,1477.37998829581,1700.25393908194,1597.36992595733,1.33291623236236e-42,2.65561307843119,7.49166047865533e-47,6.30114093612365,41.8751971431337
"FBtr0081614",421.379568963446,435.077567481805,555.889721797195,127.322035651809,87.2169100042431,72.5052009385846,7.62556454516517e-16,-3.3233131622689,4.28595129561891e-20,0.0999040405155484,15.1177279985682
"FBtr0301838",2411.61656291214,2709.13574855601,2849.18719519468,1591.76725265967,1274.93560553348,1383.49676481533,9.76712814535096e-09,-1.30873490881971,5.48961788744996e-13,0.403674704536528,8.01023311427224
"FBtr0301837",2178.80129792564,2816.98609945347,2329.92285852959,1320.39275848597,1416.19720289725,1048.62405978018,3.88088913795074e-05,-1.37466222114065,2.1812551359885e-09,0.385642986554283,4.41106876320276
"FBtr0087258",2467.44589324382,3017.12072107956,2544.29079204844,728.992568354848,556.163400131798,506.03367538832,1.92643517853294e-32,-3.12274863587178,1.08275358505674e-36,0.114804521205163,31.7152455997208
"FBtr0087257",2534.05357582335,2228.04253782946,2620.37433609627,3981.00824768263,4188.2331325455,4129.20706319135,4.95021503296385e-09,1.06227183350807,2.78227013993022e-13,2.0882172809925,8.3053759352884
"FBtr0302645",317.294434009225,289.564999439313,277.329439477663,707.945071857162,929.528218723927,595.480928042594,1.54598778530828e-07,1.9301092644041,8.68922990843232e-12,3.81084060026549,6.81079394172052
"FBtr0310064",213.511227769952,196.164321035623,226.016265757593,96.8995906346143,100.768850952587,88.4291581671583,3.30258397615004e-07,-1.66389139005485,1.85621851177498e-11,0.315586765350365,6.48114613059007
"FBtr0085094",22082.4234166234,14053.2010961036,15149.1985679562,56508.5265593099,64319.6110139779,76434.1287512378,3.62407157946351e-16,2.80405592728518,2.03691073486033e-20,6.9840114648937,15.4408032331092
